lat,lon,infra_type,infra_subtype,name,osm_id
11.7166598,78.1226374,industrial_zone,,Dalmia,way/31999828
12.932456,80.121215,industrial_zone,,Tambaram MTC Depot,way/32254408
12.9082395,77.5845509,industrial_zone,,BWSSB,way/32260062
12.9247414,77.5926125,industrial_zone,depot,BMTC Depot 4 (Jayanagara),way/32425336
13.02446,80.1928497,industrial_zone,,Bharat Electronics Ltd.,way/32541372
13.0109515,80.2264746,industrial_zone,,All India Radio,way/32544980
31.4036025,76.4127505,industrial_zone,,gwalthai industrial area,way/32552695
13.0347474,80.2053988,industrial_zone,,"MTC Bus Depot, KK Nagar",way/32613777
13.0264659,80.2056649,industrial_zone,,,way/32686524
13.0137509,80.2016599,industrial_zone,,,way/32686738
13.0093027,80.192279,industrial_zone,,International Flavour & Fragrances,way/33016953
12.9752143,77.7236569,industrial_zone,,Central Warehouse,way/33300485
12.9925922,77.7441316,industrial_zone,,Concor,way/33300660
13.0522938,80.0908077,industrial_zone,,Poonamallee MTC Depot,way/33630018
13.042142,80.12053,industrial_zone,,,way/33631841
13.0314288,80.2428116,industrial_zone,,Government Civil Supplies Warehouse,way/33744324
13.0417816,80.2031707,industrial_zone,,KK Nagar Pumping Station,way/34019466
13.0441885,80.1933418,industrial_zone,,KK Nagar West MTC Terminus,way/34060137
13.1039325,80.2680966,industrial_zone,,TNEB Site,way/34097369
13.0917499,80.2679295,industrial_zone,,,way/34097514
13.1026208,80.292419,industrial_zone,,Southern Railways Printing Press,way/34327606
13.1037376,80.2916809,industrial_zone,,IOC Fuel Yard,way/34327607
13.1282922,80.2124125,industrial_zone,,Kolathur Water Works,way/34621271
13.673419,79.351881,industrial_zone,,TTD Transport Yard,way/34755241
13.0493932,80.2004592,industrial_zone,,Majestic Studios,way/35070255
12.9822274,77.6533084,industrial_zone,,Gas Turbine Research Establishment,way/35311978
12.9811666,77.6605238,industrial_zone,,Electronics and Radar Development Establishment,way/35326939
19.0738677,73.0166897,industrial_zone,bus_depot,Turbhe Bus Depot,way/35460864
13.0444094,77.6462417,industrial_zone,,Sewage Treatment Plant,way/35913751
